Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2024-11-11, 10:19:09",-400.0,23.55,25.01,9420.0,-2.55874884,-7763.503544,1653.937708,-584.0,C,2024-11-11,84.4,1.3329,1987.6200000000001,31.389795,25.010000228881836
Trades,Data,Order,Stocks,USD,NU,"2024-11-12, 12:00:06",900.0,15.85,15.84,-14265.0,-4.952088,14269.952088,0.0,-9.0,O;P,2024-11-12,84.38,1.3379,1337.423,21.205715,15.84000015258789
Trades,Data,Order,Stocks,USD,MARA,"2024-11-12, 12:23:33",400.0,24.2,25.23,-9680.0,-2.200928,9682.200928,0.0,412.0,O,2024-11-12,84.38,1.3379,2041.9959999999999,32.37718,25.229999542236328
Trades,Data,Order,Stocks,USD,MARA,"2024-11-12, 12:27:42",-400.0,24.35,25.23,9740.0,-2.56844548,-7722.200928,2015.230627,-352.0,C,2024-11-12,84.38,1.3379,2054.653,32.577865,25.229999542236328
Trades,Data,Order,Stocks,USD,MARA,"2024-11-13, 10:06:07",400.0,24.1,21.7,-9640.0,-2.200928,9642.200928,0.0,-960.0,O,2024-11-13,84.38,1.3373,2033.558,32.22893,21.700000762939453
Trades,Data,Order,Stocks,USD,MARA,"2024-11-13, 10:10:44",-400.0,24.4,21.7,9760.0,-2.56905152,-9682.200928,75.23002,1080.0,C,2024-11-13,84.38,1.3373,2058.872,32.63012,21.700000762939453
Trades,Data,Order,Stocks,USD,MARA,"2024-11-13, 10:18:01",400.0,24.715,21.7,-9886.0,-2.211392,9888.211392,0.0,-1206.0,O;P,2024-11-13,84.38,1.3373,2085.4517,33.0513695,21.700000762939453
Trades,Data,Order,Stocks,USD,MARA,"2024-11-13, 10:21:03",-400.0,24.9,21.7,9960.0,-2.57511192,-9642.200928,315.22396,1280.0,C;P,2024-11-13,84.38,1.3373,2101.062,33.29877,21.700000762939453
Trades,Data,Order,Stocks,USD,NU,"2024-11-14, 10:31:12",500.0,14.125,15.19,-7062.5,-2.76424,7065.26424,0.0,532.5,O,2024-11-14,84.46,1.3458,1192.9975,19.009425,15.1899995803833
Trades,Data,Order,Stocks,USD,MARA,"2024-11-15, 11:43:31",400.0,20.6,21.07,-8240.0,-2.200928,8242.200928,0.0,188.0,O,2024-11-15,84.43,1.3405,1739.2580000000003,27.614300000000004,21.06999969482422
